"DBL","427.40","435.35","424.00","437.40","425.00","-","-12.40","-2.83","1,00,528","4.31","585.00","376.00","-2.97","-6.25"
"SFL","520.00","528.40","508.00","529.00","520.00","-","-9.00","-1.70","82,601","4.29","779.00","497.95","-9.32","-28.06"
"BBTC","1,526.20","1,538.90","1,510.50","1,540.80","1,518.00","-","-22.80","-1.48","28,079","4.27","2,155.00","1,476.10","-14.96","-12.31"
"JKLAKSHMI","609.95","609.95","592.15","615.70","595.00","-","-20.70","-3.36","71,005","4.27","1,021.20","574.55","-17.57","-21.76"
"SUNTECK","323.05","323.10","307.00","325.70","307.00","-","-18.70","-5.74","1,35,630","4.25","478.75","304.00","-24.47","-24.75"
"NESCO","1,045.00","1,058.80","1,033.50","1,066.60","1,045.00","-","-21.60","-2.03","40,515","4.24","1,638.90","874.80","-8.04","16.51"
"INDIACEM","366.60","366.90","353.60","369.55","355.15","-","-14.40","-3.90","1,17,668","4.23","485.80","253.00","-15.13","29.29"
"GHCL","449.90","451.70","439.85","451.15","441.00","-","-10.15","-2.25","93,444","4.16","667.20","439.85","-11.69","-29.15"
"EPIGRAL","848.00","859.95","840.00","854.10","848.00","-","-6.10","-0.71","48,786","4.15","2,114.00","822.50","-13.43","-54.99"
"NIACL","132.10","133.00","129.40","134.64","130.30","-","-4.34","-3.22","3,15,872","4.15","214.74","129.40","-13.57","-14.76"
"EIHOTEL","320.10","323.30","311.55","323.20","315.00","-","-8.20","-2.54","1,29,457","4.09","434.80","300.50","-3.42","-13.00"
"AKUMS","477.00","477.00","464.85","481.30","468.50","-","-12.80","-2.66","86,810","4.08","622.95","405.00","-3.90","-8.23"
"TIPSMUSIC","519.90","522.30","505.00","528.95","515.15","-","-13.80","-2.61","78,934","4.07","718.00","483.00","-4.50","-20.76"
"EMUDHRA","405.00","413.40","404.85","412.05","409.00","-","-3.05","-0.74","99,417","4.05","894.10","400.00","-12.03","-50.86"
"VGUARD","324.95","332.90","322.55","331.95","324.50","-","-7.45","-2.24","1,21,753","3.98","409.75","290.00","0.54","-7.31"
"ETHOSLTD","2,140.00","2,199.00","2,125.00","2,182.30","2,199.00","-","16.70","0.77","18,521","3.97","3,245.90","1,919.40","-11.04","-9.30"
"BBL","2,321.00","2,378.50","2,294.50","2,376.20","2,328.00","-","-48.20","-2.03","16,862","3.94","3,475.00","2,244.00","-7.02","-12.00"
"MANINFRA","92.22","93.51","90.00","93.63","90.29","-","-3.34","-3.57","4,27,137","3.92","190.83","88.92","-18.55","-40.51"
"GATEWAY","52.81","52.98","51.35","53.22","51.70","-","-1.52","-2.86","7,50,655","3.90","76.50","51.35","-13.59","-15.62"
"TSFINV","365.00","370.70","358.10","370.30","364.90","-","-5.40","-1.46","1,05,749","3.85","701.50","256.55","-13.77","30.03"
"SUDARSCHEM","805.00","809.85","766.00","815.95","770.00","-","-45.95","-5.63","49,164","3.84","1,603.00","766.00","-16.65","-23.54"
"UTIAMC","964.00","964.00","940.25","970.55","946.00","-","-24.55","-2.53","39,907","3.79","1,494.80","927.20","-10.49","-4.12"
"MAHSCOOTER","12,589.00","12,689.00","12,426.00","12,678.00","12,470.00","-","-208.00","-1.64","3,020","3.79","18,538.00","9,301.00","-8.94","27.84"
"JKIL","500.00","505.85","490.30","508.00","497.55","-","-10.45","-2.06","75,332","3.75","765.60","454.05","-9.48","-25.10"
"LUXIND","917.00","931.00","898.30","925.15","911.95","-","-13.20","-1.43","40,595","3.71","1,645.80","840.00","-4.04","-33.02"
"ICIL","233.40","237.35","229.70","239.75","231.00","-","-8.75","-3.65","1,52,535","3.54","351.35","213.55","-22.00","-15.98"
"IFBIND","1,020.00","1,020.00","981.30","1,029.60","982.00","-","-47.60","-4.62","34,807","3.47","2,019.80","961.90","-13.67","-15.18"
"SANOFI","3,418.30","3,459.20","3,396.00","3,460.80","3,409.00","-","-51.80","-1.50","10,092","3.46","6,717.00","3,396.00","-15.29","-39.18"
"QUESS","181.00","181.00","178.00","182.65","178.93","-","-3.72","-2.04","1,91,868","3.45","708.85","173.75","-13.00","-71.90"
"HIKAL","172.00","172.00","165.40","173.58","166.40","-","-7.18","-4.14","2,03,894","3.43","456.75","165.40","-17.63","-58.81"
"VIPIND","334.00","336.10","322.05","336.95","324.50","-","-12.45","-3.69","1,03,244","3.39","492.30","248.35","-8.76","9.57"
"VSTIND","222.77","223.49","217.00","226.59","217.90","-","-8.69","-3.84","1,53,382","3.38","334.65","212.90","-9.70","-18.69"
"PFIZER","4,784.00","4,784.00","4,705.00","4,818.00","4,720.00","-","-98.00","-2.03","7,133","3.37","5,993.00","3,701.00","-5.43","16.02"
"CEIGALL","277.85","277.85","270.00","277.65","273.90","-","-3.75","-1.35","1,23,532","3.37","307.90","222.61","-4.26","7.71"
"GALLANTT","550.00","552.65","541.60","555.85","548.00","-","-7.85","-1.41","61,069","3.35","802.25","308.20","-4.53","70.13"
"AKZOINDIA","2,880.00","2,898.40","2,780.10","2,920.80","2,812.10","-","-108.70","-3.72","11,636","3.29","3,915.50","2,658.70","-7.50","-12.72"
"PURVA","188.10","189.00","180.50","190.21","183.00","-","-7.21","-3.79","1,77,270","3.29","338.95","172.65","-21.27","-27.27"
"LMW","14,301.00","14,416.00","14,004.00","14,396.00","14,004.00","-","-392.00","-2.72","2,304","3.28","18,250.00","13,500.00","-7.78","-11.39"
"AJAXENGG","485.95","490.00","471.45","490.95","490.00","-","-0.95","-0.19","67,927","3.26","756.20","453.00","1.25","-24.17"
"APLLTD","670.00","671.35","652.00","676.30","662.00","-","-14.30","-2.11","47,930","3.17","1,107.90","652.00","-13.75","-21.33"
"RELAXO","280.00","280.00","271.40","285.60","273.50","-","-12.10","-4.24","1,04,853","2.89","526.00","271.40","-25.14","-35.29"
"EMIL","92.00","93.20","90.82","93.65","91.15","-","-2.50","-2.67","3,14,197","2.89","168.50","84.90","-8.56","-24.24"
"FINEORG","4,236.00","4,300.30","4,236.00","4,320.10","4,282.30","-","-37.80","-0.87","6,746","2.89","5,494.00","3,600.15","-4.73","13.64"
"MAXESTATES","368.45","383.45","365.50","374.10","372.60","-","-1.50","-0.40","75,957","2.86","564.30","345.35","-10.68","0.76"
"DCMSHRIRAM","1,062.00","1,086.30","1,040.00","1,094.10","1,043.90","-","-50.20","-4.59","26,158","2.79","1,502.30","945.10","-3.53","2.08"
"SUNFLAG","215.00","219.75","212.40","220.61","218.49","-","-2.12","-0.96","1,24,306","2.68","322.00","196.37","-11.66","-8.87"
